source,target,weight
D032_P,D028_P,0.5951241429193512
D028_P,D032_P,0.5951241429193512
D019_P,D032_P,0.5807073234527986
D032_P,D019_P,0.5807073234527986
D032_P,D021_P,0.5632439330137374
D021_P,D032_P,0.5632439330137374
D102_P,D028_P,0.559574630276581
D028_P,D102_P,0.559574630276581
D102_P,D038_P,0.5578105459487958
D038_P,D102_P,0.5578105459487958
D044_P,D037_P,0.5481841827969567
D037_P,D044_P,0.5481841827969567
D022_P,D044_P,0.545148268545391
D044_P,D022_P,0.545148268545391
D021_P,D102_P,0.5405917082517583
D102_P,D021_P,0.5405917082517583
D102_P,D044_P,0.5368100785399494
D044_P,D102_P,0.5368100785399494
D023_P,D044_P,0.5291293549992591
D044_P,D023_P,0.5291293549992591
D028_P,D037_P,0.5288030164500434
D037_P,D028_P,0.5288030164500434
D019_P,D037_P,0.527532959117242
D037_P,D019_P,0.527532959117242
D057_P,D032_P,0.526642930942494
D032_P,D057_P,0.526642930942494
D102_P,D019_P,0.5261757964634858
D019_P,D102_P,0.5261757964634858
D102_P,D032_P,0.5247397697892964
D032_P,D102_P,0.5247397697892964
D022_P,D021_P,0.5233246879126718
D021_P,D022_P,0.5233246879126718
D032_P,D027_P,0.5206933177081634
D027_P,D032_P,0.5206933177081634
D016_P,D037_P,0.5097162906807802
D037_P,D016_P,0.5097162906807802
