,D016_P,D017_P,D019_P,D021_P,D022_P,D023_P,D024_P,D025_P,D027_P,D028_P,D030_P,D032_P,D033_P,D037_P,D038_P,D039_P,D043_P,D044_P,D050_P,D053_P,D054_P,D055_P,D057_P,D060_P,D061_P,D062_P,D074_P,D099_P,D102_P,D103_P
D016_P,1.0,0.0980123420792206,0.09183398211152603,0.07230159021596876,0.47008023005578176,0.44281064222504674,0.17127929397720812,0.093417011795014,0.1409543826805469,0.1402693181465497,0.17278621484173512,0.4517085007477699,0.11353142619816951,0.5097162906807802,0.22855342317494892,0.1218981696957716,0.14232561420073864,0.10437652030814627,0.08347513182505065,0.09176741136264953,0.16497971682077517,0.11893519143220795,0.14286450945896628,0.11431117703856315,0.4243946113709411,0.08230254833859717,0.086712854717075,0.07340925820142041,0.41904374245733006,0.4664227471493215
D017_P,0.0980123420792206,1.0,0.04370347391324378,0.09466014082739536,0.36513585780710806,0.29640126140513917,0.1348234231837583,0.03391342706235992,0.2443653505354949,0.1006330227299783,0.20171386175773487,0.37928761378206866,0.1231063715491388,0.4108571926574248,0.23143314194637687,0.09606046947734369,0.18766110890571291,0.11157956527614206,0.05258149723193065,0.149136338532772,0.14591333609815846,0.14309183240129256,0.16393597168852747,0.10644565059366742,0.2665558320051532,0.1576002547698856,0.18144952632471217,0.0718766809262262,0.37974962067078694,0.4015314046239214
D019_P,0.09183398211152603,0.04370347391324378,1.0,0.14599799900063867,0.4915844013284029,0.3549795775111055,0.15898825741648875,0.10210652173904938,0.12095380354115846,0.08343244762115679,0.1693816780473731,0.5807073234527986,0.12390701059096164,0.527532959117242,0.17794564143168362,0.14982181877454256,0.13875899653367466,0.1827111832889083,0.10593644569897483,0.08811342377742179,0.1987622952337215,0.1847463352438284,0.12942543836941167,0.19714038112636567,0.39367256716287224,0.21214625604694828,0.10729032881773884,0.10726718733901328,0.5261757964634858,0.37470264819203236
D021_P,0.07230159021596876,0.09466014082739536,0.14599799900063867,1.0,0.5233246879126718,0.4310963975292782,0.1886498186219114,0.05891170438346919,0.17308929251094662,0.08697727205434477,0.18249541858816765,0.5632439330137374,0.14862334179155032,0.4992417135480595,0.22150237149989155,0.14865798160601995,0.16033977757319862,0.1591553946817569,0.12184497456673164,0.1712938598614058,0.2459767391473303,0.1502029557908692,0.19524472797604583,0.16620361199208272,0.4330735251080118,0.2295090068412393,0.1348233116258984,0.12582495523949833,0.5405917082517583,0.38671093345341434
D022_P,0.47008023005578176,0.36513585780710806,0.4915844013284029,0.5233246879126718,1.0,0.44238613193809667,0.3515278461170109,0.41160766066525095,0.3979097741681304,0.46419512974971083,0.4333662816929726,0.4315335691812038,0.4046996428999089,0.45171665873596517,0.4678272980208086,0.4072453606692994,0.3004686645411413,0.545148268545391,0.24247399918865847,0.2901690255823892,0.4045158260717484,0.33715019229758114,0.4473966394412947,0.3220130659065804,0.4177059307673876,0.2246680218342679,0.24330459593602125,0.2406247918061713,0.3969502860484324,0.3504463449068407
D023_P,0.44281064222504674,0.29640126140513917,0.3549795775111055,0.4310963975292782,0.44238613193809667,1.0,0.3230526491644642,0.42271410934325776,0.323126239777494,0.36565423033913586,0.40323634150056753,0.320606758136399,0.3197983085577814,0.4539253853857675,0.33667746789710623,0.3817911876236911,0.4065962376230291,0.5291293549992591,0.15930088893854594,0.3962813382192757,0.23105380058035047,0.35131678526448756,0.43465379028708667,0.43088855906957274,0.4640212658883634,0.35438928265409314,0.31367354298906863,0.16249304672820625,0.22890377843815557,0.42401970044664095
D024_P,0.17127929397720812,0.1348234231837583,0.15898825741648875,0.1886498186219114,0.3515278461170109,0.3230526491644642,1.0,0.10703320612007299,0.22162792488485292,0.163769710405227,0.2408758483819285,0.33333233253799605,0.21205358528231957,0.3608649635308316,0.27310606229552603,0.1951369980920668,0.2385495972075636,0.19985832465987075,0.14075188045743486,0.17725223662297185,0.278478987176112,0.1552751480810848,0.17235786862997013,0.19269712984098422,0.37879298650751236,0.22722902315066582,0.19912081758853822,0.14458453079936434,0.339151824414921,0.25744037795350516
D025_P,0.093417011795014,0.03391342706235992,0.10210652173904938,0.05891170438346919,0.41160766066525095,0.42271410934325776,0.10703320612007299,1.0,0.10417354114025616,0.06535721684996905,0.09356956347942443,0.47313984090298866,0.16574662926155415,0.48985164345550464,0.11832255383822045,0.1428613637618374,0.16647370227804778,0.13328102158839353,0.10071242191569246,0.0824367599378008,0.13159539097646566,0.13119420856665076,0.06609076039616847,0.12329861587945733,0.3906747981757117,0.10117405491529864,0.07698907909071503,0.060355598205718106,0.3309160970195208,0.43334772463439547
D027_P,0.1409543826805469,0.2443653505354949,0.12095380354115846,0.17308929251094662,0.3979097741681304,0.323126239777494,0.22162792488485292,0.10417354114025616,1.0,0.16855056827972262,0.2829785676757364,0.5206933177081634,0.2627830799751964,0.4360530819659709,0.34571782886363756,0.21937380719589092,0.31623535708028894,0.22696190404887037,0.15954538429860338,0.3406627773373815,0.29097618747692894,0.2912768577389974,0.2528761915084024,0.20576933408869297,0.3877866728860673,0.27307336434751545,0.28182556583796264,0.1320331456793691,0.4519296684427649,0.40247936255876887
D028_P,0.1402693181465497,0.1006330227299783,0.08343244762115679,0.08697727205434477,0.46419512974971083,0.36565423033913586,0.163769710405227,0.06535721684996905,0.16855056827972262,1.0,0.19175111743231343,0.5951241429193512,0.12372430786827537,0.5288030164500434,0.19401355692156774,0.11035071953747932,0.15952195737431274,0.1097359866732079,0.07397195126628092,0.11967269955891384,0.15032630511819373,0.13305830374392155,0.13325750861053348,0.11081068184090441,0.4201231186351512,0.11336349904910092,0.13510513239016958,0.0721183390075921,0.559574630276581,0.44142650322142013
D030_P,0.17278621484173512,0.20171386175773487,0.1693816780473731,0.18249541858816765,0.4333662816929726,0.40323634150056753,0.2408758483819285,0.09356956347942443,0.2829785676757364,0.19175111743231343,1.0,0.41790919585252373,0.20976673716361505,0.4806697227623987,0.30085110166048346,0.19343357396630806,0.26659114557499325,0.18831598798484145,0.14314648758737714,0.2056485122731314,0.2801937663194806,0.21955961255562473,0.20052016560755861,0.21174224828044744,0.4403962863629479,0.24812807628931594,0.21795127129004355,0.14439243571471622,0.39543532224060657,0.4202361286866071
D032_P,0.4517085007477699,0.37928761378206866,0.5807073234527986,0.5632439330137374,0.4315335691812038,0.320606758136399,0.33333233253799605,0.47313984090298866,0.5206933177081634,0.5951241429193512,0.41790919585252373,1.0,0.48134821210044987,0.4827603882684929,0.44920492415369034,0.37198512458192806,0.2921104729994518,0.46951041977594615,0.1482341874866758,0.26604382538131344,0.35670772121071553,0.37656526526102824,0.526642930942494,0.3032196974075982,0.32205594781681984,0.1607936616049243,0.18945220954935119,0.2709477374393744,0.5247397697892964,0.3896950721956457
D033_P,0.11353142619816951,0.1231063715491388,0.12390701059096164,0.14862334179155032,0.4046996428999089,0.3197983085577814,0.21205358528231957,0.16574662926155415,0.2627830799751964,0.12372430786827537,0.20976673716361505,0.48134821210044987,1.0,0.4672037848327118,0.2330036302317659,0.22608247449414667,0.2799064044978656,0.2031699884565278,0.13327465334821448,0.269659647079198,0.2747583630638234,0.22425834922992702,0.1401883712650162,0.2338068510160009,0.4017591688208843,0.22097595647979515,0.23800572092823188,0.11471047244818174,0.432755197739584,0.4184979496236636
D037_P,0.5097162906807802,0.4108571926574248,0.527532959117242,0.4992417135480595,0.45171665873596517,0.4539253853857675,0.3608649635308316,0.48985164345550464,0.4360530819659709,0.5288030164500434,0.4806697227623987,0.4827603882684929,0.4672037848327118,1.0,0.39873303923549464,0.4124758386613081,0.41955176177076514,0.5481841827969567,0.20081237325238138,0.34817739851064355,0.3952975401917646,0.3539791002630977,0.48187728182824524,0.3976432618060845,0.4504493919099804,0.292813537670884,0.2861944929877257,0.35512773398527425,0.35866736249900977,0.46013300382433076
D038_P,0.22855342317494892,0.23143314194637687,0.17794564143168362,0.22150237149989155,0.4678272980208086,0.33667746789710623,0.27310606229552603,0.11832255383822045,0.34571782886363756,0.19401355692156774,0.30085110166048346,0.44920492415369034,0.2330036302317659,0.39873303923549464,1.0,0.21065579836955525,0.31358182916621746,0.22588247758085034,0.16708147275420795,0.27180050087212826,0.3321975956352725,0.27501344459533095,0.3046943323279005,0.22099805671357206,0.49899844379559893,0.28025081385722256,0.23667325540696826,0.17351277925694825,0.5578105459487958,0.34887678803744127
