,D009_M,D033_M,D038_M,D039_M,D042_M,D043_M,D049_M,D051_M,D057_M,D058_M,D063_M,D064_M,D065_M,D066_M,D071_M,D074_M,D078_M,D082_M,D085_M,D086_M,D087_M,D088_M,D096_M,D097_M,D111_M,D119_M,D124_M,D125_M,D126_M,D127_M,D128_M,D129_M,D131_M,D132_M,D133_M,D145_M
D009_M,1.0,0.3544536036175566,0.3570898019896441,0.45863410502630225,0.34887590703703447,0.30680263015398107,0.3218284694612033,0.26604728960731644,0.38127184823115173,0.3136875580181386,0.4474294621582888,0.33711485499745836,0.49367047166412675,0.4711930772706542,0.31901864307596717,0.17873250823722225,0.35235892144578357,0.3535155247214331,0.4028760035200524,0.3928923197550998,0.3293310869501422,0.26393160320926357,0.1962391140597838,0.4311514810503284,0.388720402223862,0.3963651053357875,0.21770303622556145,0.2046344537434089,0.19915153335725197,0.27634209393008885,0.20911118077019264,0.42989471774378557,0.41022231871630255,0.3074215730972244,0.4152210655552548,0.2476833320675915
D033_M,0.3544536036175566,1.0,0.4908226880118639,0.5322246518253809,0.535865669795243,0.4707852774673692,0.5015430293926555,0.41956792158485295,0.4840418850430778,0.5429694577623972,0.32418373995621763,0.49037302889591344,0.40837350542408274,0.5661452058659387,0.42118927800680606,0.3365545588534564,0.4525622420556039,0.36885847843313535,0.42439401088401607,0.40747709882314176,0.3578083315267037,0.3609020474305987,0.33111635570169595,0.3773010160666822,0.3595332009719554,0.4447721650171372,0.2891389424327192,0.37738226187041507,0.18113576857138686,0.37074050498348576,0.24173161057294637,0.4901362807384833,0.4138525634698856,0.4310450064840543,0.1997880463419898,0.2816897828419032
D038_M,0.3570898019896441,0.4908226880118639,1.0,0.4868892015440227,0.4490246201896623,0.33822996118217097,0.4446933102793991,0.34645144221901936,0.4305349752362619,0.40261539694515514,0.24995215109217295,0.46686457009334875,0.36328623095532514,0.48899620349876793,0.3509029690608782,0.32368370499735644,0.36370478130088085,0.3389734328977344,0.3498058612202044,0.355945309913855,0.3528616476360794,0.35631864857016315,0.36945093115742317,0.3664246257782244,0.3372051423171587,0.3183680086849041,0.2991766527136197,0.348816453832413,0.15833830053687065,0.30426235666783397,0.24289995971919243,0.4849122526320967,0.3043337682535111,0.35278429308553577,0.1884422306312306,0.20140328287614265
D039_M,0.45863410502630225,0.5322246518253809,0.4868892015440227,1.0,0.5263958268576842,0.4012004930214403,0.45542414073917714,0.33116416203966287,0.42149094105574014,0.43270619514858666,0.3974110642616391,0.5060930977156806,0.43223034409302546,0.5440890276424243,0.3283216060805287,0.2810168406316027,0.3738437570895458,0.38720492590819133,0.38235720816172414,0.42474758068364415,0.40983353110312276,0.34423881026283915,0.33574161347175563,0.4302304508309969,0.3448338258869561,0.3504649972175168,0.26847860199068935,0.3600179492483488,0.18394858596869196,0.2950128798228997,0.23960089729131467,0.5019990570540195,0.3697631577716709,0.39764456893188743,0.28395506129878934,0.2474562812165843
D042_M,0.34887590703703447,0.535865669795243,0.4490246201896623,0.5263958268576842,1.0,0.39871584163320106,0.4046009859262153,0.3634953229457261,0.39322573486219836,0.5060455024653003,0.34986819155212423,0.47148544365516987,0.48547140782443876,0.5321896301642121,0.3184033172695581,0.2688878102417473,0.3812622446248358,0.3414636420864172,0.35032890820839024,0.4003566862000664,0.3864871756036274,0.3051743922523296,0.3686151764588171,0.39289816727261967,0.33560694848393174,0.39304792633295565,0.24332173813931957,0.3345663511942898,0.15206674486754515,0.31052975796891924,0.2433284937619144,0.45756472504422824,0.3134040135822107,0.43372125364641245,0.17780255184857513,0.23217342632050608
D043_M,0.30680263015398107,0.4707852774673692,0.33822996118217097,0.4012004930214403,0.39871584163320106,1.0,0.4270285363142774,0.3692028435786504,0.3758821902368709,0.43878471213624326,0.41957856292693896,0.44384725908716066,0.35289435110186873,0.48814300644376124,0.3165685434253977,0.2622973259213811,0.35889205462045676,0.33571220180568173,0.38873995973933234,0.37861954360637806,0.27780697862642173,0.20281233591209957,0.26135434402128027,0.28054450970911904,0.3268424269996463,0.4185852343876441,0.20232991772703302,0.3128008199239461,0.14176738752319107,0.3369200548322857,0.196751466870427,0.37788170927658327,0.22777368705619835,0.347645618635315,0.12389464498604393,0.1876023600659234
D049_M,0.3218284694612033,0.5015430293926555,0.4446933102793991,0.45542414073917714,0.4046009859262153,0.4270285363142774,1.0,0.4491688082043971,0.47970045486195273,0.4777510181203546,0.2457506993575193,0.40193138766245246,0.3517594548687804,0.48620387443600016,0.429350000064711,0.3600254114525042,0.41847412625623515,0.3462930125656782,0.42993946307335434,0.4083267843606296,0.3087776905475752,0.33821069898613215,0.32603368247611875,0.33121975526326414,0.33415170580834425,0.4102236262508323,0.3156097382988201,0.39771040334274416,0.17681139893068784,0.3353798815507267,0.2532689187609233,0.44896936688491007,0.32415970769524366,0.3539190726370692,0.21342988854459627,0.2515112606997563
D051_M,0.26604728960731644,0.41956792158485295,0.34645144221901936,0.33116416203966287,0.3634953229457261,0.3692028435786504,0.4491688082043971,1.0,0.2507964789782448,0.2998743901777496,0.30377566314328197,0.3890920743402457,0.2502937770992499,0.2635088638152284,0.34605832080290677,0.22769196345165504,0.2882551081440307,0.23604315746365628,0.4169780197884546,0.3576876332481485,0.279964738753747,0.22499159038909747,0.32291589210767757,0.29288407459801424,0.36957204951528905,0.3148638708334091,0.43670807250155746,0.2886554884519367,0.12807176606194043,0.2009658736146591,0.41246102453421335,0.20811097821396712,0.40450741071084095,0.3181237051127907,0.08415113736819042,0.23899114990917086
D057_M,0.38127184823115173,0.4840418850430778,0.4305349752362619,0.42149094105574014,0.39322573486219836,0.3758821902368709,0.47970045486195273,0.2507964789782448,1.0,0.4034405001459121,0.3001839783933985,0.40684625873755786,0.3360474748060414,0.26936236761135585,0.43483667812685467,0.27979297494268324,0.25398924840384174,0.2661934431146007,0.1907582853478827,0.40359183892226097,0.33810180494240966,0.27670659360194116,0.3179794912135401,0.35522843744501925,0.3627804207322006,0.35822265886162735,0.16222951666244664,0.3244647619746405,0.18623529252812931,0.2678330950989254,0.18638999460702294,0.27152934423005076,0.23879314159382092,0.3387373101723526,0.1183721753477691,0.19954222891111337
D058_M,0.3136875580181386,0.5429694577623972,0.40261539694515514,0.43270619514858666,0.5060455024653003,0.43878471213624326,0.4777510181203546,0.2998743901777496,0.4034405001459121,1.0,0.3128721707193349,0.4550158316437054,0.36825303974155194,0.3037606658975979,0.36083349710930124,0.35865028527208337,0.3172556743635222,0.28542019197960766,0.239763466966441,0.3867968668605917,0.33863349426799033,0.3512720046419296,0.3672125908815501,0.35575450743466774,0.3474626893148345,0.3660153081630745,0.2090780462949915,0.4266740514141285,0.13687330126969294,0.3734077616196877,0.23322195070902854,0.3569287540770975,0.24477126977784333,0.3960859299578823,0.1816072154866856,0.2535197629399467
