Rede;Etapa;Componente Curricular;Regional;Previstos;Avaliados;Avaliados (%);Proficiência Média;Abaixo do básico;Básico;Proficiente;Avançado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%)
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE AFONSO CLAUDIO;36;33;92;281;15%;55%;27%;3%;62;44;72;66;75;78;61;87;51;79;56;63;53;65;75;67;50;74;82;61;92;72;81;63;37;71
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE BARRA DE SAO FRANCISCO;87;85;98;260;38%;35%;25%;2%;61;43;55;68;64;59;56;68;55;67;49;56;46;59;51;57;64;50;67;48;81;68;62;47;47;54
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE CACHOEIRO DE ITAPEMIRIM;478;461;96;270;31%;42%;24%;3%;67;33;68;69;70;70;58;79;52;67;51;60;61;68;62;54;61;58;71;50;88;66;64;52;36;59
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE CARAPINA;1262;1211;96;286;20%;36%;39%;5%;72;43;77;74;77;76;66;82;60;78;59;69;65;72;70;65;68;64;74;61;90;79;75;61;42;65
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE CARIACICA;429;396;92;266;36%;33%;28%;3%;63;32;65;64;64;67;58;72;54;67;50;58;55;67;59;53;59;55;65;53;81;69;69;58;40;55
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE COLATINA;353;337;95;278;30%;34%;31%;5%;65;37;74;74;67;72;63;80;54;77;56;70;62;71;58;58;62;57;71;60;90;70;71;64;39;63
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE COMENDADORA JUREMA MORETZ SOHN;92;90;98;286;17%;43%;34%;6%;77;42;76;77;74;75;64;81;56;77;70;71;57;83;64;66;60;55;73;59;92;76;78;75;37;62
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE LINHARES;305;294;96;282;23%;42%;30%;5%;71;36;72;71;74;75;63;80;55;76;55;66;63;74;63;59;69;64;75;61;92;76;77;62;46;65
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE NOVA VENECIA;186;185;99;283;24%;35%;36%;5%;72;34;80;77;71;73;59;82;58;79;57;65;59;78;58;57;69;69;72;58;88;74;68;65;46;67
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE SAO MATEUS;70;69;99;285;22%;32%;39%;7%;77;39;70;73;72;85;66;81;66;82;56;69;61;73;69;61;59;66;65;64;84;82;75;84;55;61
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;SRE VILA VELHA;851;807;95;279;24%;38%;34%;4%;69;42;72;74;73;71;64;81;54;76;56;67;58;72;66;59;64;65;72;55;87;76;73;60;39;63
