Rede;Etapa;Componente Curricular;Código da Regional;Município;Previstos;Avaliados;Avaliados (%);Proficiência Média;Abaixo do básico;Básico;Proficiente;Avançado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%);H 27 (%);H 28 (%);H 29 (%);H 30 (%);H 31 (%);H 32 (%);H 33 (%);H 34 (%);H 35 (%);H 36 (%)
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000027;FUNDAO;24;22;92;271;64%;23%;9%;5%;46;38;33;33;38;71;10;31;44;46;93;67;48;36;12;13;29;13;55;29;47;7;54;36;29;8;42;33;11;23;55;8;36;43;11;13
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000027;SANTA TERESA;125;121;97;305;37%;25%;26%;12%;70;53;47;59;72;68;32;53;39;65;96;69;67;62;31;11;26;41;19;48;40;30;49;46;66;40;27;64;25;48;39;36;26;61;21;21
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000027;SERRA;3123;2687;86;265;64%;24%;10%;2%;56;32;37;43;43;54;27;36;27;46;79;50;41;43;23;13;24;34;25;35;25;20;36;29;53;26;27;30;22;37;30;17;22;40;20;21
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000027;VITORIA;1913;1694;89;271;60%;25%;12%;3%;53;33;39;49;50;56;32;35;28;46;85;54;45;47;21;12;26;37;26;35;28;20;38;30;56;29;25;31;24;35;32;18;24;43;18;24
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000028;ALFREDO CHAVES;53;43;81;292;33%;44%;21%;2%;84;37;70;46;49;76;25;53;25;37;79;62;59;52;24;3;12;58;19;58;43;17;64;38;57;38;25;44;18;50;36;17;28;48;18;33
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000028;ANCHIETA;103;98;95;306;24%;40%;27%;9%;72;42;50;74;72;70;51;40;29;68;91;77;74;65;25;7;28;54;44;47;46;19;48;33;53;44;36;54;33;58;47;18;38;55;20;33
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000028;GUARAPARI;814;709;87;266;65%;21%;13%;2%;58;30;40;51;47;52;34;32;29;46;81;50;38;49;22;14;21;37;23;32;30;23;36;33;48;21;26;31;22;33;34;20;24;41;21;22
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000028;PIUMA;98;91;93;280;55%;25%;12%;8%;67;48;45;67;62;62;31;24;34;57;96;54;44;47;29;13;18;44;26;33;50;26;32;33;43;34;21;34;33;36;24;16;15;57;21;27
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000028;VILA VELHA;2125;1885;89;273;58%;24%;13%;5%;57;34;40;52;53;57;32;37;30;50;82;56;46;46;21;14;25;38;24;36;31;22;39;30;54;28;26;34;23;38;31;19;20;45;19;23
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000029;CARIACICA;2237;1914;86;257;71%;19%;8%;2%;50;31;33;44;40;49;27;31;28;41;76;44;37;39;20;14;24;31;25;32;23;20;36;25;45;24;25;27;20;31;30;16;21;37;21;22
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;000029;MARECHAL FLORIANO;132;118;89;368;15%;14%;19%;53%;78;68;74;80;86;86;67;72;60;93;99;78;83;77;68;61;71;76;67;70;72;57;66;49;82;72;60;74;67;79;62;56;68;76;45;41
