Rede;Etapa;Componente Curricular;Regional;Previstos;Avaliados;Avaliados (%);Proficiência Média;Abaixo do básico;Básico;Proficiente;Avançado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%);H 27 (%);H 28 (%);H 29 (%);H 30 (%);H 31 (%);H 32 (%);H 33 (%);H 34 (%);H 35 (%);H 36 (%)
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE AFONSO CLAUDIO;1069;1017;95;299;39%;26%;25%;10%;69;47;52;62;65;71;42;48;37;61;91;65;55;61;30;15;33;46;28;46;43;25;48;41;63;41;27;43;30;46;36;25;25;57;24;24
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE BARRA DE SAO FRANCISCO;654;609;93;273;58%;24%;14%;5%;56;37;39;50;48;55;31;39;28;49;82;55;42;49;24;16;26;32;27;32;30;20;41;31;53;34;31;34;26;38;31;22;21;41;21;20
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE CACHOEIRO DE ITAPEMIRIM;2416;2229;92;282;52%;25%;18%;5%;61;41;47;57;55;63;35;39;32;54;87;59;47;53;25;14;27;39;29;40;36;21;43;34;56;33;27;36;22;40;33;21;23;49;23;23
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE CARAPINA;5185;4524;87;268;62%;24%;11%;3%;55;33;38;46;46;55;29;36;28;47;82;52;43;45;22;13;25;35;25;35;27;20;37;30;54;28;26;31;23;36;31;18;23;42;20;22
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE CARIACICA;2971;2537;85;263;68%;19%;9%;4%;52;32;36;45;43;50;30;33;30;43;77;47;39;42;23;17;26;32;26;34;26;22;37;27;47;25;27;29;22;33;32;19;25;39;21;23
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE COLATINA;1364;1230;90;268;62%;22%;13%;3%;55;32;37;47;45;56;31;36;31;46;79;50;42;47;20;14;23;34;24;37;27;20;42;26;54;25;26;29;23;33;30;19;21;41;24;23
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE COMENDADORA JUREMA MORETZ SOHN;1176;1081;92;296;42%;27%;21%;10%;65;55;52;62;61;68;40;44;35;60;91;61;53;57;35;18;38;44;37;45;37;24;43;34;59;46;31;48;28;46;38;19;37;56;26;25
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE LINHARES;1977;1710;86;272;58%;26%;13%;3%;57;36;37;49;51;58;31;39;29;47;83;53;45;45;21;14;24;33;24;35;31;21;40;31;57;29;27;31;22;35;32;19;21;45;20;21
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE NOVA VENECIA;1115;1003;90;276;58%;24%;14%;5%;57;33;36;53;48;62;30;40;32;50;88;56;45;47;23;14;25;36;24;41;32;18;41;30;53;28;25;32;26;43;31;15;19;45;21;23
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE SAO MATEUS;1526;1411;92;289;49%;23%;16%;12%;59;36;49;56;54;62;40;44;37;52;87;60;50;50;28;25;29;34;35;44;41;29;41;33;60;41;34;44;30;44;34;28;32;48;26;29
ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;SRE VILA VELHA;3193;2826;89;273;58%;24%;13%;4%;59;34;41;53;52;57;33;36;30;50;82;55;45;47;21;14;23;39;25;35;32;22;39;31;52;27;26;34;24;37;32;19;22;45;20;24
