Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Previstos;Avaliados;Avaliados (%);Proficiência Média;Abaixo do básico;Básico;Proficiente;Avançado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%);H 27 (%);H 28 (%);H 29 (%);H 30 (%);H 31 (%);H 32 (%);H 33 (%);H 34 (%);H 35 (%);H 36 (%)
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;AFONSO CLAUDIO;205;192;94;286;43%;34%;16%;7%;76;43;47;52;40;47;42;45;40;48;86;47;54;50;34;13;30;40;40;44;29;29;41;38;56;38;39;31;40;33;40;28;52;40;54;26
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;BREJETUBA;132;126;95;310;32%;25%;27%;17%;83;46;60;64;50;49;34;62;50;53;85;60;67;56;30;19;38;42;40;55;45;46;45;47;81;39;44;49;29;49;26;55;58;45;54;44
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;CONCEICAO DO CASTELO;81;77;95;291;44%;22%;27%;6%;72;43;51;50;40;48;27;60;41;52;95;58;51;47;28;13;38;44;27;55;23;32;34;32;77;44;38;31;34;33;27;42;51;42;62;13
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;DOMINGOS MARTINS;262;254;97;319;24%;28%;31%;17%;85;51;55;64;57;59;39;52;50;62;93;60;71;73;42;21;40;58;47;58;53;36;34;51;75;59;34;33;41;50;50;49;66;55;62;48
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;LARANJA DA TERRA;90;89;99;320;20%;31%;34%;15%;84;47;58;64;66;63;41;64;54;58;92;63;68;68;41;18;45;56;50;64;57;30;52;40;67;47;40;31;47;45;62;60;57;65;63;42
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;SANTA MARIA DE JETIBA;247;244;99;317;23%;32%;34%;11%;88;47;53;70;58;60;41;55;49;51;92;65;68;66;38;23;37;57;41;50;49;32;41;53;75;50;37;40;43;42;37;51;59;54;63;34
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;VENDA NOVA DO IMIGRANTE;161;151;94;301;37%;26%;30%;7%;83;34;48;63;51;46;30;48;40;46;95;57;63;54;34;13;44;41;41;57;44;30;36;44;72;38;33;31;39;37;44;46;59;43;65;35
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;AGUA DOCE DO NORTE;107;103;96;264;67%;22%;11%;0%;67;22;45;53;25;45;24;33;33;35;86;39;51;38;22;14;21;33;19;33;29;25;33;33;57;7;29;42;45;29;21;25;50;25;47;20
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;AGUIA BRANCA;108;107;99;298;38%;25%;23%;13%;77;32;59;57;54;58;36;44;35;53;86;54;65;60;41;16;25;46;32;49;38;23;44;61;69;54;25;38;28;46;43;47;49;37;52;34
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;BARRA DE SAO FRANCISCO;302;300;99;281;51%;28%;17%;3%;75;30;45;49;50;54;31;37;35;37;84;45;58;49;23;13;26;45;27;45;35;26;36;33;58;22;33;29;39;36;34;32;45;41;58;29
