Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Previstos;Avaliados;Avaliados (%);Proficiência Média;Abaixo do básico;Básico;Proficiente;Avançado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%);H 27 (%);H 28 (%);H 29 (%);H 30 (%);H 31 (%);H 32 (%);H 33 (%);H 34 (%);H 35 (%);H 36 (%)
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;1178;1133;96;308;30%;29%;29%;12%;83;45;53;62;52;54;38;53;47;53;91;59;64;61;36;18;38;49;42;54;44;34;40;46;71;46;37;35;40;42;41;47;58;49;60;36
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;816;799;98;282;51%;26%;17%;6%;72;30;47;51;45;51;32;38;37;40;83;46;56;51;31;17;27;40;27;43;34;25;38;39;59;31;30;36;37;35;35;37;51;43;54;30
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE CACHOEIRO DE ITAPEMIRIM;2929;2816;96;301;37%;27%;24%;12%;76;40;49;59;48;54;39;52;43;48;86;57;62;60;38;19;42;50;42;53;40;33;37;44;68;40;35;35;39;39;42;45;54;45;55;36
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE CARAPINA;6727;6256;93;282;50%;27%;18%;6%;70;32;44;52;42;47;33;40;36;41;81;51;53;50;33;17;30;42;33;47;35;28;32;38;62;32;30;30;34;35;38;31;47;38;49;31
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE CARIACICA;3362;3065;91;266;62%;23%;12%;3%;63;28;37;46;36;43;28;34;31;33;76;41;48;41;26;13;25;35;27;41;28;25;29;32;53;28;27;25;33;30;31;25;44;33;44;26
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE COLATINA;1586;1512;95;285;46%;30%;18%;6%;74;34;44;51;40;53;33;41;36;41;83;52;57;53;30;14;33;40;34;47;34;25;30;42;63;36;32;26;38;36;32;37;46;41;51;32
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE COMENDADORA JUREMA MORETZ SOHN;1197;1158;97;301;38%;27%;22%;13%;78;40;51;61;51;60;39;45;45;46;89;59;61;53;44;17;40;50;42;51;33;32;36;43;66;51;35;42;39;42;42;38;51;44;55;36
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE LINHARES;2381;2225;93;278;52%;29%;16%;3%;74;30;42;51;40;50;30;42;35;38;85;47;54;44;30;15;29;36;31;43;30;28;30;35;64;29;28;28;36;34;30;28;43;37;50;27
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE NOVA VENECIA;1356;1316;97;288;46%;28%;19%;8%;75;35;43;55;44;55;35;44;38;44;88;51;58;50;31;16;35;43;38;48;32;26;31;39;66;32;33;30;37;35;35;37;52;39;53;34
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE SAO MATEUS;1618;1529;94;281;51%;27%;17%;5%;73;31;41;51;37;50;31;41;37;39;85;48;55;50;28;12;31;44;35;47;34;27;30;34;61;33;30;30;36;34;31;33;47;36;50;34
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;MT;ESPÍRITO SANTO;SRE VILA VELHA;4316;4061;94;278;52%;27%;16%;5%;69;31;44;51;40;48;32;40;33;38;80;51;51;47;32;14;30;40;31;44;35;27;29;37;59;31;29;28;34;31;34;29;44;35;49;29
